algorithm,base_algorithm,execution_type,threads,size,data_type,sample,time_ns,time_ms,sorted
MergeSortParallel,MergeSort,PARALLEL,2,50000,RANDOM,1,3484303,3.484303,true
MergeSortParallel,MergeSort,PARALLEL,4,50000,RANDOM,1,2538672,2.538672,true
MergeSortParallel,MergeSort,PARALLEL,8,50000,RANDOM,1,2118379,2.118379,true
MergeSortParallel,MergeSort,PARALLEL,16,50000,RANDOM,1,2063169,2.063169,true
MergeSortSerial,MergeSort,SERIAL,1,50000,RANDOM,2,4530219,4.530219,true
MergeSortParallel,MergeSort,PARALLEL,2,50000,RANDOM,2,3155945,3.155945,true
MergeSortParallel,MergeSort,PARALLEL,4,50000,RANDOM,2,2380537,2.380537,true
MergeSortParallel,MergeSort,PARALLEL,8,50000,RANDOM,2,2507004,2.507004,true
MergeSortParallel,MergeSort,PARALLEL,16,50000,RANDOM,2,3083587,3.083587,true
MergeSortSerial,MergeSort,SERIAL,1,50000,RANDOM,3,5360784,5.360784,true
MergeSortParallel,MergeSort,PARALLEL,2,50000,RANDOM,3,3034958,3.034958,true
MergeSortParallel,MergeSort,PARALLEL,4,50000,RANDOM,3,2578336,2.578336,true
MergeSortParallel,MergeSort,PARALLEL,8,50000,RANDOM,3,1967230,1.967230,true
MergeSortParallel,MergeSort,PARALLEL,16,50000,RANDOM,3,2301915,2.301915,true
MergeSortSerial,MergeSort,SERIAL,1,50000,RANDOM,4,7026286,7.026286,true
MergeSortParallel,MergeSort,PARALLEL,2,50000,RANDOM,4,4663167,4.663167,true
MergeSortParallel,MergeSort,PARALLEL,4,50000,RANDOM,4,3051364,3.051364,true
MergeSortParallel,MergeSort,PARALLEL,8,50000,RANDOM,4,2839663,2.839663,true
MergeSortParallel,MergeSort,PARALLEL,16,50000,RANDOM,4,3062975,3.062975,true
MergeSortSerial,MergeSort,SERIAL,1,50000,RANDOM,5,8491161,8.491161,true
MergeSortParallel,MergeSort,PARALLEL,2,50000,RANDOM,5,4376252,4.376252,true
MergeSortParallel,MergeSort,PARALLEL,4,50000,RANDOM,5,3573345,3.573345,true
MergeSortParallel,MergeSort,PARALLEL,8,50000,RANDOM,5,2940165,2.940165,true
MergeSortParallel,MergeSort,PARALLEL,16,50000,RANDOM,5,2824033,2.824033,true
MergeSortSerial,MergeSort,SERIAL,1,100000,RANDOM,1,14111288,14.111288,true
MergeSortParallel,MergeSort,PARALLEL,2,100000,RANDOM,1,6645161,6.645161,true
MergeSortParallel,MergeSort,PARALLEL,4,100000,RANDOM,1,4695860,4.695860,true
MergeSortParallel,MergeSort,PARALLEL,8,100000,RANDOM,1,4286043,4.286043,true
MergeSortParallel,MergeSort,PARALLEL,16,100000,RANDOM,1,3627767,3.627767,true
MergeSortSerial,MergeSort,SERIAL,1,100000,RANDOM,2,10319739,10.319739,true
MergeSortParallel,MergeSort,PARALLEL,2,100000,RANDOM,2,8145416,8.145416,true
