algorithm,base_algorithm,execution_type,threads,size,data_type,mean_time_ms_parallel,std_time_ms,samples,mean_time_ms_serial,speedup,efficiency
QuickSortParallel,QuickSort,PARALLEL,8,100000,SORTED,0.8449564,0.049773720539055565,5,1.9047546,2.2542637702963133,0.28178297128703916
QuickSortParallel,QuickSort,PARALLEL,8,500000,NEARLY_SORTED,20.887796,19.155532244520888,5,24.194058000000002,1.1582867814296922,0.14478584767871153
QuickSortParallel,QuickSort,PARALLEL,8,500000,RANDOM,17.0429226,10.782829851399041,5,38.8539176,2.279768471165855,0.2849710588957319
QuickSortParallel,QuickSort,PARALLEL,8,500000,REVERSED,6.642967799999999,1.565532865040431,5,20.0060014,3.011605957204851,0.37645074465060635
QuickSortParallel,QuickSort,PARALLEL,8,500000,SORTED,2.4065138,0.2983786435440713,5,6.9722786,2.8972526980730384,0.3621565872591298
QuickSortParallel,QuickSort,PARALLEL,16,10000,NEARLY_SORTED,0.634772,0.19539043784817103,5,0.7429005999999999,1.1703424221610277,0.07314640138506423
QuickSortParallel,QuickSort,PARALLEL,16,10000,RANDOM,1.0598804000000002,0.3688510568783828,5,1.096419,1.0344742670965514,0.06465464169353446
QuickSortParallel,QuickSort,PARALLEL,16,10000,REVERSED,0.5998554,0.06883094993387788,5,0.24211080000000001,0.40361527128037855,0.02522595445502366
QuickSortParallel,QuickSort,PARALLEL,16,10000,SORTED,0.33871799999999996,0.04096404046233721,5,0.10552500000000001,0.31154234495952393,0.019471396559970246
QuickSortParallel,QuickSort,PARALLEL,16,50000,NEARLY_SORTED,3.3979033999999997,0.4793498120556635,5,3.1057651999999996,0.9140239831420751,0.057126498946379695
QuickSortParallel,QuickSort,PARALLEL,16,50000,RANDOM,2.5667408000000003,0.11099958803842458,5,4.5486672,1.7721568145875888,0.1107598009117243
QuickSortParallel,QuickSort,PARALLEL,16,50000,REVERSED,1.6664732,0.40411476372275734,5,2.6257146,1.5756116570011445,0.09847572856257153
QuickSortParallel,QuickSort,PARALLEL,16,50000,SORTED,0.7016854,0.048987705613755754,5,0.7541634,1.0747885020836974,0.06717428138023109
QuickSortParallel,QuickSort,PARALLEL,16,100000,NEARLY_SORTED,5.7054164,2.4637774751444783,5,6.914726,1.21195816662917,0.07574738541432313
QuickSortParallel,QuickSort,PARALLEL,16,100000,RANDOM,3.7624322,0.9952965796217225,5,8.4289624,2.240296157363314,0.1400185098352071
QuickSortParallel,QuickSort,PARALLEL,16,100000,REVERSED,2.3604832,0.9717112016325633,5,4.880682999999999,2.0676626717783884,0.12922891698614927
QuickSortParallel,QuickSort,PARALLEL,16,100000,SORTED,1.2355766,0.2814985648894147,5,1.9047546,1.5415916746885625,0.09634947966803516
QuickSortParallel,QuickSort,PARALLEL,16,500000,NEARLY_SORTED,12.841607200000002,3.9022555465041884,5,24.194058000000002,1.884036602521217,0.11775228765757606
QuickSortParallel,QuickSort,PARALLEL,16,500000,RANDOM,10.0151466,1.9108182806892702,5,38.8539176,3.879515612881793,0.24246972580511206
QuickSortParallel,QuickSort,PARALLEL,16,500000,REVERSED,6.2342178,1.9414213584605222,5,20.0060014,3.2090635973610033,0.2005664748350627
