algorithm,base_algorithm,execution_type,threads,size,data_type,mean_time_ms,std_time_ms,samples
QuickSortParallel,QuickSort,PARALLEL,16,10000,NEARLY_SORTED,0.634772,0.19539043784817103,5
QuickSortParallel,QuickSort,PARALLEL,16,10000,RANDOM,1.0598804000000002,0.3688510568783828,5
QuickSortParallel,QuickSort,PARALLEL,16,10000,REVERSED,0.5998554,0.06883094993387788,5
QuickSortParallel,QuickSort,PARALLEL,16,10000,SORTED,0.33871799999999996,0.04096404046233721,5
QuickSortParallel,QuickSort,PARALLEL,16,50000,NEARLY_SORTED,3.3979033999999997,0.4793498120556635,5
QuickSortParallel,QuickSort,PARALLEL,16,50000,RANDOM,2.5667408000000003,0.11099958803842458,5
QuickSortParallel,QuickSort,PARALLEL,16,50000,REVERSED,1.6664732,0.40411476372275734,5
QuickSortParallel,QuickSort,PARALLEL,16,50000,SORTED,0.7016854,0.048987705613755754,5
QuickSortParallel,QuickSort,PARALLEL,16,100000,NEARLY_SORTED,5.7054164,2.4637774751444783,5
QuickSortParallel,QuickSort,PARALLEL,16,100000,RANDOM,3.7624322,0.9952965796217225,5
QuickSortParallel,QuickSort,PARALLEL,16,100000,REVERSED,2.3604832,0.9717112016325633,5
QuickSortParallel,QuickSort,PARALLEL,16,100000,SORTED,1.2355766,0.2814985648894147,5
QuickSortParallel,QuickSort,PARALLEL,16,500000,NEARLY_SORTED,12.841607200000002,3.9022555465041884,5
QuickSortParallel,QuickSort,PARALLEL,16,500000,RANDOM,10.0151466,1.9108182806892702,5
QuickSortParallel,QuickSort,PARALLEL,16,500000,REVERSED,6.2342178,1.9414213584605222,5
QuickSortParallel,QuickSort,PARALLEL,16,500000,SORTED,2.3854682,0.32744359669216305,5
QuickSortSerial,QuickSort,SERIAL,1,10000,NEARLY_SORTED,0.7429005999999999,0.386175984309356,5
QuickSortSerial,QuickSort,SERIAL,1,10000,RANDOM,1.096419,0.3913076422950363,5
QuickSortSerial,QuickSort,SERIAL,1,10000,REVERSED,0.24211080000000001,0.015636309177680018,5
QuickSortSerial,QuickSort,SERIAL,1,10000,SORTED,0.10552500000000001,0.01336010282520311,5
QuickSortSerial,QuickSort,SERIAL,1,50000,NEARLY_SORTED,3.1057651999999996,0.5737780281412839,5
QuickSortSerial,QuickSort,SERIAL,1,50000,RANDOM,4.5486672,1.2044532502420755,5
QuickSortSerial,QuickSort,SERIAL,1,50000,REVERSED,2.6257146,0.553318782894906,5
QuickSortSerial,QuickSort,SERIAL,1,50000,SORTED,0.7541634,0.36431742831533603,5
QuickSortSerial,QuickSort,SERIAL,1,100000,NEARLY_SORTED,6.914726,0.787881731416587,5
QuickSortSerial,QuickSort,SERIAL,1,100000,RANDOM,8.4289624,0.3725905516318156,5
QuickSortSerial,QuickSort,SERIAL,1,100000,REVERSED,4.880682999999999,2.000882691478313,5
QuickSortSerial,QuickSort,SERIAL,1,100000,SORTED,1.9047546,0.5384146981767863,5
QuickSortSerial,QuickSort,SERIAL,1,500000,NEARLY_SORTED,24.194058000000002,1.8816103284052985,5
QuickSortSerial,QuickSort,SERIAL,1,500000,RANDOM,38.8539176,0.601525863897222,5
QuickSortSerial,QuickSort,SERIAL,1,500000,REVERSED,20.0060014,3.92667013138286,5
QuickSortSerial,QuickSort,SERIAL,1,500000,SORTED,6.9722786,0.7864738333068049,5
